Datum,Messplatz,Fahrtrichtung,Fahrzeuge gesamt,bis 20 km/h,über 20 km/h
01.10.13,Trierer Str.,Brand,393,3,-
,Passstr.,Jülicher Str.,384,43,8
02.10.13,Lütticher Str.,Belgien,212,7,2
,Adalbertsteinweg,Kaiserplatz,349,14,1
04.10.13,Passstr.,Jülicher Str.,458,45,9
,Vaalser Str.,Innenstadt,525,23,2
07.10.13,Münsterstr.,Brand,145,41,8
,Jülicher Str.,Haaren,497,31,3
08.10.13,Krefelder Str.,Innenstadt,945,29,6
,Vaalser Str.,Niederlande,873,12,1
09.10.13,Jülicher Str.,Haaren,752,58,12
,Passstr.,Jülicher Str.,376,21,2
10.10.13,Schleidener Str.,Roetgen,181,3,2
,Schleidener Str.,Walheim,165,4,3
,Himmelsleiter,Walheim,724,11,1
,Lütticher Str.,Belgien,791,45,2
,Freunder Landstr.,Stolberg,214,5,-
11.10.13,Nerscheider Weg,Pascalstr.,122,12,-
,Aureliusstr.,Franzstr.,65,12,-
12.10.13,Adalbertsteinweg,Trierer Str.,383,21,5
13.10.13,Saarstr.,Monheimsallee,1325,24,1
14.10.13,Kesselstr.,Monschauer Str.,97,4,-
15.10.13,Karl-Marx-Allee,Friedrich-Ebert-Allee,324,39,8
16.10.13,Monschauer Str.,Roetgen,963,21,1
17.10.13,Passstr.,Jülicher Str.,236,19,4
18.10.13,Aretzstr.,Peliserkerstr.,125,9,-
21.10.13,Jülicher Str.,Haaren,364,23,-
,Lütticher Str.,Belgien,512,36,-
22.10.13,Purweider Weg,Merowingerstr.,177,19,-
22.10.13,Passstr.,Jülicher  Str.,322,26,2
23.10.13,Neuenhofstr.,Madrider Ring,838,9,1
,Alt Haarener Str.,Haaren-Mitte,356,2,1
,Roermonder Str.,Richterich,386,20,4
24.10.13,Adalbertsteinweg,Trierer Str.,299,10,3
,Prämienstr.,Schleidener Str.,127,21,6
,Prager Ring,Krefelder Str.,1207,20,-
25.10.13,Jülicher Str.,Innenstadt,434,9,1
,Welkenrather Str.,Junkerstr.,71,20,2
,Purweider Weg,Laurensberg,84,19,3
26.10.13,Schurzelter Str.,Laurensberg,74,21,5
27.10.13,Ludwigsallee,Ponttor,1160,74,13
28.10.13,Krefelder Str.,Innenstadt,1318,21,1
,Adalbertsteinweg,Kaiserplatz,703,39,4
,Eupener Str.,Belgien,148,21,2
,Alt Haarener Str.,Haaren-Mitte,354,1,-
29.10.13,Jülicher Str.,Innenstadt,718,32,-
,Lütticher Str.,Innenstadt,1040,55,2
,Saarstr.,Monheimsallee,1252,32,1
,Trierer Str.,Brand,709,45,2
30.10.13,Eupener Str.,Belgien,775,155,10
,Jülicher Str.,Innenstadt,376,20,-
,Schleidener Str.,Roetgen,264,12,1
,Vaalser Str.,Innenstadt,1197,24,2
,Krefelder Str.,Würselen,1161,22,3
31.10.13,Adenauerallee,Monschauer Str.,1273,15,-
,Trierer Str.,Kornelimünster,502,9,-
,Passstr.,Jülicher Str.,110,11,1
,Vaalser Str.,Niederlande,1287,40,3
02.11.13,Prager Ring,Krefelder Str.,1129,46,1
,Adenauerallee,Trierer Str.,472,12,-
03.11.13,Krefelder Str.,Würselen,561,100,7
04.11.13,Horbacher Str.,Niederlande,69,9,-
,Kalkbergstr.,Verlautenheidener Str.,136,21,3
,Sittarder Str.,Schopenhauerstr.,21,7,-
05.11.13,Krefelder Str.,Würselen,420,11,3
,Karl-Marx-Allee,Friedrich-Ebert-Allee,664,41,6
,Josefstr.,Von-Coels-Str.,578,41,-
,Passstr.,Krefelder Str.,127,28,2
06.11.13,Kalkbergstr.,Wolfsbendenstr.,249,37,2
,Reinhardstr.,Neuenhofstr.,159,28,-
,Aachener-und-Münchener-Allee,Hohenstaufenallee,290,21,5
,Jülicher Str.,Innenstadt,253,9,4
07.11.13,Albert-Einstein-Str.,Aachener Str.,32,7,-
,Monschauer Str.,Lichtenbusch,926,7,1
,Trierer Str.,Kornelimünster,270,2,-
,Auf der Hüls,Charlottenburger Allee,198,32,-
